T;Ax;Ay;Az;CLASS
12550.00;-0.57;-0.22;0.83;Positive
12600.00;-0.58;-0.22;0.81;Positive
12650.00;-0.56;-0.22;0.79;Positive
12700.00;-0.58;-0.21;0.80;Positive
12750.00;-0.58;-0.22;0.83;Positive
12800.00;-0.68;-0.21;0.94;Positive
12850.00;-0.83;-0.22;1.01;Positive
12900.00;-0.72;-0.22;1.02;Positive
12950.00;-0.58;-0.18;0.88;Positive
13000.00;-0.31;-0.14;-0.24;Positive
13050.00;1.50;-0.10;-0.96;Positive
13100.00;1.97;-0.20;-0.64;Positive
13150.00;0.64;0.05;-0.03;Positive
13200.00;1.06;-0.13;-0.20;Positive
13250.00;1.36;-0.15;-0.26;Positive
13300.00;1.00;-0.16;-0.06;Positive
13350.00;0.47;-0.11;0.09;Positive
13400.00;-0.39;-0.30;0.27;Positive
13450.00;-1.13;-0.16;0.79;Positive
13500.00;-1.42;-0.20;1.06;Positive
13550.00;-0.74;-0.19;0.85;Positive
13600.00;-0.42;-0.27;0.71;Positive
13650.00;-0.62;-0.22;0.81;Positive
13700.00;-0.62;-0.21;0.77;Positive
13750.00;-0.57;-0.22;0.75;Positive
13800.00;-0.59;-0.22;0.79;Positive
13850.00;-0.63;-0.23;0.84;Positive
13900.00;-0.58;-0.25;0.80;Positive
13950.00;-0.60;-0.23;0.81;Positive
14000.00;-0.59;-0.22;0.79;Positive
14050.00;-0.62;-0.21;0.80;Positive
14100.00;-0.60;-0.22;0.83;Positive
14150.00;-0.64;-0.24;0.87;Positive
14200.00;-0.56;-0.21;0.89;Positive
14250.00;-0.60;-0.21;0.90;Positive
14300.00;-0.58;-0.18;0.97;Positive
14350.00;-0.53;-0.13;1.02;Positive
14400.00;-0.44;-0.18;0.50;Positive
14450.00;0.02;-0.02;-0.70;Positive
14500.00;2.00;-0.41;-1.70;Positive
14550.00;1.36;0.40;0.14;Positive
14600.00;0.26;-0.27;0.11;Positive
14650.00;1.54;-0.01;-0.23;Positive
14700.00;1.10;-0.17;-0.10;Positive
14750.00;0.83;-0.10;0.19;Positive
14800.00;0.25;-0.21;0.34;Positive
14850.00;-0.40;-0.31;0.57;Positive
14900.00;-0.93;-0.21;0.81;Positive
14950.00;-1.34;-0.30;1.05;Positive
15000.00;-0.52;-0.20;0.81;Positive
15050.00;-0.68;-0.21;0.80;Positive
15100.00;-0.67;-0.22;0.75;Positive
15150.00;-0.58;-0.20;0.71;Positive
